,Wizard’s First Rule,Harry Potter (Series),Twilight (Series),Hitchhiker’s Guide to the Galaxy,Jonathan Strange and Mister Norrell,Master and Margarita,Lord of the Rings,Song of Ice and Fire,Hunger Games
Lina,5,4,5,3,NA,4,NA,NA,3
Lilya,4,5,5,4,5,3,NA,4,3
Mariya,4,NA,5,NA,2,5,2,NA,3
Yuliya,NA,5,NA,4,2,5,3,1,3
Irene,4,5,4,4,3,4,NA,5,3
Alla,5,NA,5,4,NA,5,NA,NA,4
Chris,4,4,NA,5,NA,NA,5,4,NA
Bev,5,NA,NA,4,NA,4,3,4,3
Lana,5,5,5,4,NA,4,2,NA,4
Rita,4,5,5,4,4,NA,3,5,5
Ronny,NA,5,5,NA,NA,NA,3,4,5
Alena,5,5,4,NA,NA,4,3,4,4
Anya,5,4,5,3,NA,4,1,1,5
AndreyM,5,5,2,5,NA,5,5,4,3
Sally,5,5,5,5,NA,5,NA,5,3
AndreyT,4,4,NA,5,NA,5,4,4,NA
Michael,4,4,NA,3,4,4,3,NA,NA
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
